,Community,zoning,n_lots,zone_cat,n_lots_neigh,n_lots_cat
0,ALBANY PARK,RM-5,1,R-Residential,1,1
1,ARMOUR SQUARE,B1-1,3,B-Business,6,3
2,ARMOUR SQUARE,C1-3,2,C-Commercial,6,2
3,ARMOUR SQUARE,RT-4,1,R-Residential,6,1
4,ASHBURN,B1-1,2,B-Business,2,2
5,AUBURN GRESHAM,B1-1,17,B-Business,80,65
6,AUBURN GRESHAM,B1-2,26,B-Business,80,65
7,AUBURN GRESHAM,B1-3,14,B-Business,80,65
8,AUBURN GRESHAM,B3-1,7,B-Business,80,65
9,AUBURN GRESHAM,B3-3,1,B-Business,80,65
10,AUBURN GRESHAM,C1-1,1,C-Commercial,80,1
11,AUBURN GRESHAM,RM-5,1,R-Residential,80,14
12,AUBURN GRESHAM,RM-6,2,R-Residential,80,14
13,AUBURN GRESHAM,RS-3,9,R-Residential,80,14
14,AUBURN GRESHAM,RT-4,2,R-Residential,80,14
15,AUSTIN,B3-1,14,B-Business,113,34
16,AUSTIN,B3-2,19,B-Business,113,34
17,AUSTIN,B3-3,1,B-Business,113,34
18,AUSTIN,C1-1,7,C-Commercial,113,15
19,AUSTIN,C1-2,1,C-Commercial,113,15
20,AUSTIN,C1-3,2,C-Commercial,113,15
21,AUSTIN,C2-1,2,C-Commercial,113,15
22,AUSTIN,C2-2,3,C-Commercial,113,15
23,AUSTIN,PD 128,2,PD-Planned Development,113,3
24,AUSTIN,PD 1543,1,PD-Planned Development,113,3
25,AUSTIN,RM-6,1,R-Residential,113,61
26,AUSTIN,RS-3,16,R-Residential,113,61
27,AUSTIN,RT-4,44,R-Residential,113,61
28,AVALON PARK,B3-1,4,B-Business,19,4
29,AVALON PARK,C1-2,1,C-Commercial,19,12
30,AVALON PARK,C2-2,11,C-Commercial,19,12
31,AVALON PARK,RS-3,2,R-Residential,19,3
32,AVALON PARK,RT-4,1,R-Residential,19,3
33,AVONDALE,B1-3,2,B-Business,3,2
34,AVONDALE,RS-3,1,R-Residential,3,1
35,BEVERLY,B1-1,16,B-Business,27,16
36,BEVERLY,C1-1,7,C-Commercial,27,7
37,BEVERLY,RS-1,3,R-Residential,27,4
38,BEVERLY,RS-2,1,R-Residential,27,4
39,BRIDGEPORT,C1-2,4,C-Commercial,4,4
40,BRIGHTON PARK,PD 1063,1,PD-Planned Development,2,2
41,BRIGHTON PARK,PD 224,1,PD-Planned Development,2,2
42,BURNSIDE,C1-2,2,C-Commercial,3,2
43,BURNSIDE,RS-3,1,R-Residential,3,1
44,CALUMET HEIGHTS,RS-3,2,R-Residential,2,2
45,CHATHAM,B3-2,7,B-Business,21,7
46,CHATHAM,C1-2,4,C-Commercial,21,4
47,CHATHAM,RS-3,9,R-Residential,21,10
48,CHATHAM,RT-4,1,R-Residential,21,10
49,DOUGLAS,B3-1,2,B-Business,161,12
50,DOUGLAS,B3-3,10,B-Business,161,12
51,DOUGLAS,C1-3,34,C-Commercial,161,46
52,DOUGLAS,C2-3,12,C-Commercial,161,46
53,DOUGLAS,PD 1509,20,PD-Planned Development,161,71
54,DOUGLAS,PD 236,1,PD-Planned Development,161,71
55,DOUGLAS,PD 627,49,PD-Planned Development,161,71
56,DOUGLAS,PD 897,1,PD-Planned Development,161,71
