SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR24-02311794,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,12/26/2024 16:46,12/26/2024 16:46,,10011 S PRINCETON AVE,Chicago,Illinois,60628,10011,S,PRINCETON,AVE,FALSE,FALSE,,,49,9,,P046,1,5,511,20,,16,5,12,1176133.107,1838478.08,41.712147,-87.630561,"(41.71214700093988, -87.6305610000019)"
SR24-02244621,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,12/13/2024 9:08,12/13/2024 9:08,,10015 S YALE AVE,Chicago,Illinois,60628,10015,S,YALE,AVE,FALSE,FALSE,,,49,9,,P046,1,5,511,20,,9,6,12,1176462.738,1838438.137,41.71203,-87.629355,"(41.71203000093987, -87.62935500000192)"
SR25-00050298,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,1/10/2025 12:25,1/10/2025 12:25,,10026 S PRAIRIE AVE,Chicago,Illinois,60628,10026,S,PRAIRIE,AVE,FALSE,FALSE,,,49,9,,Q046,1,5,511,35,,12,6,1,1179613.559,1838401.794,41.711859,-87.617817,"(41.71185900093984, -87.6178170000019)"
SR25-00479703,Vacant/Abandoned Building Complaint,BBK,Streets and Sanitation,DOB - Buildings,Open,Phone Call,3/26/2025 10:52,3/26/2025 10:52,,1006 W 48TH ST,Chicago,Illinois,60609,1006,W,48TH,ST,FALSE,FALSE,,,61,20,,N033,3,9,933,4,,10,4,3,1170353.962,1873055.721,41.80716,-87.650721,"(41.807160000940186, -87.65072100000192)"
SR25-00446278,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/20/2025 11:14,3/20/2025 11:14,,10115 S YALE AVE,Chicago,Illinois,60628,10115,S,YALE,AVE,FALSE,FALSE,,,49,9,,P046,1,5,511,10,,11,5,3,1176472.881,1837798.675,41.710275,-87.629337,"(41.71027500093981, -87.6293370000019)"
SR25-00103035,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/20/2025 15:52,1/20/2025 15:53,,10125 S YALE AVE,Chicago,Illinois,60628,10125,S,YALE,AVE,FALSE,FALSE,,,49,9,,P046,1,5,511,10,,15,2,1,1176419.903,1837691.747,41.70998276,-87.62953422,"(41.70998276455192, -87.6295342171792)"
SR25-00384359,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/11/2025 7:58,3/11/2025 7:58,,10139 S WENTWORTH AVE,Chicago,Illinois,60628,10139,S,WENTWORTH,AVE,FALSE,FALSE,,,49,9,,P046,1,5,511,10,,7,3,3,1176809.102,1837555.448,41.7096,-87.628113,"(41.70960000093982, -87.62811300000192)"
SR25-00191969,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,2/5/2025 11:49,2/5/2025 11:49,,10149 S LA SALLE ST,Chicago,Illinois,60628,10149,S,LA SALLE,ST,FALSE,FALSE,,,49,9,,P046,1,5,511,10,,11,4,2,1177140.38,1837466.331,41.709348,-87.6269025,"(41.709348000939826, -87.62690250000192)"
SR24-02192450,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,12/3/2024 16:16,12/3/2024 16:16,,10211 S BEVERLY AVE,Chicago,Illinois,60643,10211,S,BEVERLY,AVE,FALSE,FALSE,,,73,21,,M046,1,22,2213,49,,16,3,12,1169037.638,1837161.835,41.708691,-87.6565845,"(41.70869100093986, -87.65658450000191)"
SR25-00191780,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,2/5/2025 11:25,2/5/2025 11:26,,10217 S WALLACE ST,Chicago,Illinois,60628,10217,S,WALLACE,ST,FALSE,FALSE,,,73,9,,O046,3,22,2232,27,,11,4,2,1174185.981,1837055.273,41.708286,-87.637734,"(41.70828600093985, -87.63773400000191)"
SR24-01799454,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,9/25/2024 9:37,9/25/2024 9:37,,10220 S PEORIA ST,Chicago,Illinois,60643,10220,S,PEORIA,ST,FALSE,FALSE,,,73,21,,N046,3,22,2232,45,,9,4,9,1172028.005,1836923.151,41.707971,-87.6456405,"(41.707971000939835, -87.6456405000019)"
