Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
GEMS World Academy  Chicago,On-Market,Special Purpose,350 East South Water Street,Chicago,IL,60601,N/A,,,80439,,,,,,,39,No,-87.6187664,41.8866712
CHICAGO FIVE PORTFOLIO,On-Market,Multifamily,3720 W McLean Ave,Chicago,IL,60647,N/A,,,32250,$142.00 ,33,"$138,485.00 ","$353,920.00 ",8.58%,"$4,570,000.00 ",69,No,NA,NA
"OFFICE BUILDING - 1112 S WABASH, CHICAGO, IL 60605",On-Market,Office,1112 S Wabash Ave,Chicago,IL,60605,Multi,,,75000,$178.67 ,,,"$1,196,206.00 ",8.93%,"$13,400,000.00 ",1510,No,-87.6263122,41.8687217
1534 S. Western Avenue,On-Market,"Industrial, Self Storage",1534 S Western Ave,Chicago,IL,60608,Vacant,,,65200,$42.18 ,,,,,"$2,750,000.00 ",1590,Yes,-87.6859318,41.86010919
Stabilized Western Medical Office Portfolio,On-Market,"Office, Retail",11240 S Western Ave,Chicago,IL,60643,Multi,,,,,,,,7.80%,"$3,945,000.00 ",124,No,NA,NA
"Point at Clark  Lakeview  Chicago, IL",On-Market,Retail,3131 N Clark St,Chicago,IL,60657,Multi,,,90455,,3,,,,,383,No,-87.649558,41.9391403
Instant Alliance  Single-Tenant Office Investment,On-Market,Office,"55 W Wacker Drive, Suite 600-D",Chicago,IL,60601,Single,,0.4,,,,,"$120,755.00 ",8.63%,"$1,400,000.00 ",1043,No,-87.6300102,41.8864753
2100 W Fulton St,On-Market,Industrial,2100 W Fulton St,Chicago,IL,60612,Single,,,17121,,,,,,,892,No,-87.6794584,41.8870556
Vacant Owner-UserValue-Add Loop Office Condo  Suite 350,On-Market,Office,"55 W Wacker Drive, Suite 350",Chicago,IL,60601,Vacant,,,,,,,,,"$1,065,000.00 ",1043,No,-87.6300142,41.8865033
Walgreens,On-Market,Retail,1614 W 47th St,Chicago,IL,60609,Single,,13.5,13891,,,,"$305,602.00 ",6.65%,"$4,595,519.00 ",46,No,-87.6658987,41.8088905
South Side Trust and Savings Bank,On-Market,Retail,4659 S Cottage Grove Ave,Chicago,IL,60653,Vacant,,,35850,,1,,,,"$1,900,000.00 ",167,Yes,-87.6061021,41.8097178
Chicago Loop High-Rise Office Building,On-Market,Office,105 W Madison St,Chicago,IL,60602,Multi,,,134220,,,,"$1,574,568.00 ",6.30%,,1833,No,-87.6312275,41.8818289
KFC in Prime Location Near Downtown Chicago,On-Market,Retail,7445 S Stony Is Ave,Chicago,IL,60649,Single,20,12.5,3000,$666.67 ,,,"$94,160.00 ",4.71%,"$2,000,000.00 ",827,Yes,-87.58578968,41.75931166
"219 West Chicago Ave, Mixed Use  Resi Conversion  OwnUser",On-Market,"Mixed Use, Multifamily, Office",219 W Chicago Ave,Chicago,IL,60654,N/A,,,19615,,7,,"$298,705.00 ",,,26,No,-87.6350968,41.8963515
Southgate Market,On-Market,Retail,1101 S Canal St,Chicago,IL,60607,Multi,,8.4,303810,,,,,,,28,No,-87.63931994,41.86928524
Prime Fulton Market Portfolio,On-Market,"Industrial, Land, Office, Retail",1044 W Kinzie St,Chicago,IL,60642,Multi,,,52932,,,,,,"$9,500,000.00 ",66,No,NA,NA
N La Crosse and W Montrose - 15 Units,On-Market,Multifamily,4832 W Montrose Ave,Chicago,IL,60641,N/A,,,,,15,"$143,333.33 ","$100,282.00 ",5.00%,"$2,150,000.00 ",560,No,-87.74875492,41.96100759
