Property Name,Purchase Entire Building?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
Former Allstate Headquarters Bldg Homan Square Portfolio,Y,PD-971,On-Market,"Land, Mixed Use, Multifamily, Office",3245 W Arthington St,Chicago,IL,60624,Vacant,,,706000,$11.71 ,,,,,"$8,268,000.00 ",331,Yes,-87.70812746,41.87003658
Homan Square Portfolio  Various Options to Purchase,Y,PD-971,On-Market,"Hospitality, Industrial, Mixed Use, Multifamily, Office",3201 W Arthington St,Chicago,IL,60624,Multi,,,550000,,,,,,,715,Yes,-87.70584794,41.8700534
1657 North Kostner,Industrial,M1-2,On-Market,"Industrial, Office",1657 N Kostner Ave,Chicago,IL,60639,Vacant,,,60000,,,,,,,865,No,-87.735782,41.9109258
WEST LOOP REDEVELOPMENT OPPORTUNITY,"43,624 SF (72.8% of the building) can become available by the end of December 2024, providing the majority of the building for potential apartment conversion immediately after acquisition.
An additional 1,642 SF (2.7% of the building) will become available between March and November 2026 as leases expire, offering further flexibility for phased redevelopment.
The final 5,550 SF (9.2% of the building) will become available between January and April 2029 upon lease expirations, enabling investors to continue generating income from office leases while gradually converting spaces to residential use.",DX-7,On-Market,"Office, Retail",565 W Randolph St,Chicago,IL,60661,Multi,,,59981,$273.00 ,,"$290,984.00 ","$439,360.00 ",,,96,No,-87.6425647,41.8843207
Prime Fulton Market Portfolio,Y (rezone possible?),M2-3,On-Market,"Industrial, Land, Office, Retail",1044 W Kinzie St,Chicago,IL,60642,Multi,,,52932,,,,,,"$9,500,000.00 ",71,No,NA,NA
West Loop Owner-User Bldg or Development Site,Y,DS-3,On-Market,Office,1100 W Monroe St,Chicago,IL,60607,Vacant,,,48500,,,,,,,264,No,-87.65503571,41.88038182
"2155 S. Carpenter Street, Chicago, IL 60608",Y, C3-2,On-Market,"Office, Industrial",2155 S Carpenter St,Chicago,IL,60608,Single,,,41237,,,,,,,628,No,-87.65290076,41.85256278
401 N. Leavitt Street,Y,PMD 4A,On-Market,"Office, Industrial",401 N Leavitt St,Chicago,IL,60612,Vacant,,,39300,$83.97 ,,,,,"$3,300,000.00 ",2089,No,-87.681339,41.888858
Prime Commercial Parcel,Lot,C2-1,On-Market,"Retail, Multifamily, Land",4901 W 47th St,Chicago,IL,60638,Single,,,33542,,,,,,,40,No,-87.7460024,41.8073232
1648 W. Kinzie Street,Y,PMD 4A,On-Market,"Industrial, Mixed Use, Office",1648 W Kinzie St,Chicago,IL,60622,Multi,,,30000,,,,,,,1889,No,-87.6686679,41.889012
