Property Name,Purchase Entire Building?,Vacant?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
Former Allstate Headquarters Bldg Homan Square Portfolio,Y,Y,PD-971,On-Market,"Land, Mixed Use, Multifamily, Office",3245 W Arthington St,Chicago,IL,60624,Vacant,,,706000,$11.71 ,,,,,"$8,268,000.00 ",331,Yes,-87.70812746,41.87003658
Homan Square Portfolio  Various Options to Purchase,Y,Y,PD-971,On-Market,"Hospitality, Industrial, Mixed Use, Multifamily, Office",3201 W Arthington St,Chicago,IL,60624,Multi,,,550000,,,,,,,715,Yes,-87.70584794,41.8700534
111 N Wabash Avenue 1610,N,N,,On-Market,Office,111 North Wabash Avenue 1610,Chicago,IL,60602,Vacant,,,259000,,0,,,,"$219,000.00 ",597,No,-87.6257549,41.8834907
Chicago Loop High-Rise Office Building,Y,N,,On-Market,Office,105 W Madison St,Chicago,IL,60602,Multi,,,134220,,,,"$1,574,568.00 ",6.30%,,1838,No,-87.6312275,41.8818289
"OFFICE BUILDING - 1112 S WABASH, CHICAGO, IL 60605",Y,N,,On-Market,Office,1112 S Wabash Ave,Chicago,IL,60605,Multi,,,75000,$178.67 ,,,"$1,196,206.00 ",8.93%,"$13,400,000.00 ",1515,No,-87.6263122,41.8687217
1657 North Kostner,Y,Industrial,M1-2,On-Market,"Industrial, Office",1657 N Kostner Ave,Chicago,IL,60639,Vacant,,,60000,,,,,,,865,No,-87.735782,41.9109258
WEST LOOP REDEVELOPMENT OPPORTUNITY,Y,"43,624 SF (72.8% of the building) can become available by the end of December 2024, providing the majority of the building for potential apartment conversion immediately after acquisition.
An additional 1,642 SF (2.7% of the building) will become available between March and November 2026 as leases expire, offering further flexibility for phased redevelopment.
The final 5,550 SF (9.2% of the building) will become available between January and April 2029 upon lease expirations, enabling investors to continue generating income from office leases while gradually converting spaces to residential use.",DX-7,On-Market,"Office, Retail",565 W Randolph St,Chicago,IL,60661,Multi,,,59981,$273.00 ,,"$290,984.00 ","$439,360.00 ",,,96,No,-87.6425647,41.8843207
225 W. Superior,Y,N,,On-Market,Office,225 W Superior St,Chicago,IL,60654,Vacant,,,56000,$141.07 ,,,,,"$7,900,000.00 ",285,No,-87.635156,41.89557685
Prime Fulton Market Portfolio,Y,Y (rezone possible?),M2-3,On-Market,"Industrial, Land, Office, Retail",1044 W Kinzie St,Chicago,IL,60642,Multi,,,52932,,,,,,"$9,500,000.00 ",71,No,NA,NA
West Loop Owner-User Bldg or Development Site,Y,Y,DS-3,On-Market,Office,1100 W Monroe St,Chicago,IL,60607,Vacant,,,48500,,,,,,,264,No,-87.65503571,41.88038182
4660 N Ravenswood Ave,Y,N,,On-Market,Office,4660 N Ravenswood Ave,Chicago,IL,60640,Multi,,,44900,,,,,,"$5,500,000.00 ",319,No,-87.6751858,41.9667662
4711 N Lamon Ave,Y,N,,On-Market,"Office, Industrial",4711 N Lamon Ave,Chicago,IL,60630,Multi,,,41432,$102.58 ,,,,,"$3,999,000.00 ",172,No,-87.7497972,41.9662239
