ID,PROPERTY ADDRESS,SUBMISSION DATE,OWNER NAME,OWNER DATE,OWNER MANAGEMENT AGENT NAME,OWNER NOTICES AGENT NAME,OWNER NOTICES AGENT PHONE,OWNER NOTICES AGENT EMAIL,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,OWNER MANAGEMENT AGENT ADDRESS,OWNER MANAGEMENT AGENT CITY,OWNER MANAGEMENT AGENT STATE,OWNER MANAGEMENT AGENT ZIP,LOCATION
167913,10115 S Emerald Av,03/31/2022,US Bank National Association,03/24/2022,Kathryn Florez,Kathryn Florez,(312) 932-8408,Kathryn.Florez@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.64155776096058 41.71009504860621)
205832,10123 S Wentworth Av,04/18/2022,US Bank National Association,04/11/2022,Kathryn Florez,Kathryn Florez,(312) 932-8408,Kathryn.florez@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.6282427672632 41.71004096296603)
479565,10123 S Wentworth Av,09/20/2022,U.S. Bank National Association,04/11/2022,Victoria Ortiz,Victoria Ortiz,(312) 476-5754,victoria.ortiz@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.6282427672632 41.71004096296603)
144236,1015 E Hyde Park Bv,02/14/2022,Federal National Mortgage Association,01/28/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.60067399115223 41.80221136082591)
405560,1024 W 115th St,07/06/2022,Federal National Mortgage Association,06/10/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.64817242269324 41.68511235452132)
149761,10248 S Hoxie Av,02/23/2022,"Deutsche Bank National Trust Company, as Trustee, on behalf",12/16/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,10248 S Hoxie Av,Chicago,IL,,10248 S Hoxie Av,Chicago,IL,,POINT (-87.56103660281912 41.70852027559065)
153501,10329 S Avenue M,03/02/2022,"US Bank National Association, as trustee for the holders of",12/13/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,10329 S Avenue M,Chicago,IL,,10329 S Avenue M,Chicago,IL,,POINT (-87.53755717376019 41.707332537112244)
159838,10342 S Corliss Av,03/14/2022,Federal National Mortgage Association,02/25/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.60412261024929 41.70618481213019)
472761,10418 S Vernon Av,09/07/2022,"Edward Gal, Inc.",08/26/2022,Daniel Berry Atttorney,Edward Gal,(708) 267-6567,edwardgal@comcast.net,3012 W 111th St,Chicago,IL,,3012 W 111th St,Chicago,IL,,POINT (-87.61262923845482 41.70490433457441)
461449,10429 S Indiana Av,08/25/2022,Freddie Mac Home Loans,06/29/2022,Mera Kordic,Mera Kordic,(312) 720-6667,merakordic@hotmail.com,10429 S Indiana Av,Chicago,IL,,1207 N Dearborn Pw,Chicago,IL,,POINT (-87.61842447430726 41.70457795250596)
130692,10554 S La Salle St,01/26/2022,Federal National Mortgage Association,12/29/2021,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.6270901098318 41.70191094301606)
154242,10615 S Eggleston Av,03/03/2022,"LENDINGONE, LLC c/o Fay Servicing",02/09/2022,Anthony Disano,"Law Offices of Ira T. Nevel, LLC",(312) 357-1125,pleadings@nevellaw.com,440 S La Salle St,Chicago,IL,,440 S La Salle St,Chicago,IL,,POINT (-87.63406144464747 41.701077905164475)
430200,10625 S Calumet Av,07/21/2022,Federal National Mortgage Association,07/12/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.61466977238847 41.701050908301916)
467571,10752 S Champlain Av,09/01/2022,U.S. Bank National Association,05/24/2022,Victoria Ortiz,Victoria Ortiz,(312) 476-5754,victoria.ortiz@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.60746950455959 41.69882765518011)
342717,11028 S Eberhart Av,06/03/2022,"U.S. Bank National Association, as trustee, on behalf of the",03/14/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,11028 S Eberhart Av,Chicago,IL,,11028 S Eberhart Av,Chicago,IL,,POINT (-87.61124036685786 41.69369045540702)
