zoning,lot_area_per_unit,FAR
RT-3.5,1250,1.05
RT-4,1000,1.2
RT-4A,1000,1.2
RM-4.5,700,1.7
RM-5,400,2
RM-5.5,400,2.5
RM-6,300,4.4
RM-6.5,300,6.6
B1-1,2500,1.2
B1-1.5,1350,1.5
B1-2,1000,2.2
B1-3,400,3
B1-5,200,5
B2-1,2500,1.2
B2-1.5,1350,1.5
B2-2,1000,2.2
B2-3,400,3
B2-5,200,5
B3-1,2500,1.2
B3-1.5,1350,1.5
B3-2,1000,2.2
B3-3,400,3
B3-5,200,5
C1-1,2500,1.2
C1-1.5,1350,1.5
C1-2,1000,2.2
C1-3,400,3
C1-5,200,5
C2-1,2500,1.2
C2-2,1000,2.2
C2-3,400,3
C2-5,200,5
DC-12,115,12
DC-16,100,16
DR-3,400,3
DR-5,200,5
DR-7,145,7
DR-10,115,10
DX-12,115,12
DX-16,100,16
DX-3,400,3
DX-5,200,5
DX-7,145,7
